HP_name;PlotID_2;PAG;Precision;Center_x_coordinate;Center_y_coordinate;Date;Year;Canton;Municipality;Altitude_original;Species_richness;SqFt_ID;F;R;N;L;T;K;Nr_cuts;Nr_cuts_before_record;Soil;Content_of_Ca;Bedrock;Light_cond;Water_balance;Inclination;Exposition;Fertil_y_n;Fertil_frequ;Fertil_type;Fertil_treatment;Land_use;Land_use_2;Grazing_animal;EUNIS_class;EUNIS_habitat name;Type_of_classification;Total_biomass;vegetation type;Class (Mucina et al. 2016);Order (Mucina et al. 2016)
HP_472;472;472;116.2253473;8.549710904;47.39540234;21.08.1884;1884;ZH;Oberstrass;513;15;472;3.071428571;3.214285714;3.642857143;3.785714286;3.428571429;3;;;quite strict clay;1;;;;;;yes;;;;meadow;meadow;;R21; Mesic permanent pasture of lowlands and mountains;1;66.261;B.3 Mesic grasslands;Molinio-Arrhenatheretea;Poo alpinae-Trisetetalia
HP_473;473;473;319.8633332;8.392800628;47.42711223;15.06.1890;1890;ZH;Oetwil a.d.L.;385;24;473;2.380952381;3.6;2.3;3.818181818;3.352941176;3.333333333;;;alluvial sand;3;;;;;;no;;;;meadow;meadow;;R1A; Semi-dry perennial calcareous grassland (meadow steppe);1;33.963;B.2 Meso-xeric grasslands;Festuco-Brometea;Brachypodietalia pinnati
HP_474;474;473;319.8633332;8.392800628;47.42711223;15.06.1890;1890;ZH;Oetwil a.d.L.;385;24;474;2.523809524;3.5;2.4;3.727272727;3.289473684;3.368421053;;;alluvial sand;;;;;;;yes;;phosphoric acid;;meadow;meadow;;R1A; Semi-dry perennial calcareous grassland (meadow steppe);3;66.374;B.2 Meso-xeric grasslands;Festuco-Brometea;Brachypodietalia pinnati
HP_475;475;475;158.3380454;8.774236497;47.2045908;3539;1909;ZH;Pfäffikon;414;19;475;3.058823529;3.055555556;3.294117647;3.666666667;3.214285714;3;;;cohesive, sandy loam;;;;;;;no;;formerly liquid manure;;fruit orchard;meadow;;R21; Mesic permanent pasture of lowlands and mountains;2;19.789;B.3 Mesic grasslands;Molinio-Arrhenatheretea;Poo alpinae-Trisetetalia
HP_476;476;475;158.3380454;8.774236497;47.2045908;3803;1910;ZH;Pfäffikon;414;25;476;3.113636364;3.08;3.454545455;3.68;3.225;2.952380952;;;cohesive, sandy loam;;;;;;;no;;formerly liquid manure;;fruit orchard;meadow;;R21; Mesic permanent pasture of lowlands and mountains;1;27.306;B.3 Mesic grasslands;Molinio-Arrhenatheretea;Poo alpinae-Trisetetalia
HP_477;477;475;158.3380454;8.774236497;47.2045908;3539;1909;SZ;Pfäffikon;414;15;477;3.076923077;3.071428571;3.230769231;3.714285714;3.136363636;3.083333333;;;cohesive, sandy loam;;;;;;;yes;usually in autumn;manure or liquid manure;;pasture;pasture;cows;R21; Mesic permanent pasture of lowlands and mountains;2;31.916;B.3 Mesic grasslands;Molinio-Arrhenatheretea;Poo alpinae-Trisetetalia
HP_478;478;475;158.3380454;8.774236497;47.2045908;3803;1910;SZ;Pfäffikon;414;9;478;3.166666667;3.111111111;3.444444444;3.555555556;3.285714286;3;;;cohesive, sandy loam;;;;;;;no;;formerly liquid manure;;fruit orchard;meadow;sheep;R21; Mesic permanent pasture of lowlands and mountains;1;25.514;B.3 Mesic grasslands;Molinio-Arrhenatheretea;Poo alpinae-Trisetetalia
HP_479;479;479;676.6016918;8.449650956;47.44483871;28.06.1895;1895;ZH;Regensdorf;430;18;479;3.083333333;3.0625;2.277777778;3.833333333;3.133333333;3.066666667;;;muck sand;1;blue clay;;;;;no;;;;litter meadow;meadow;;R1A; Semi-dry perennial calcareous grassland (meadow steppe);1;37.384;B.2 Meso-xeric grasslands;Festuco-Brometea;Brachypodietalia pinnati
HP_480;480;479;676.6016918;8.449650956;47.44483871;28.06.1895;1895;ZH;Regensdorf;430;20;480;2.972222222;3.176470588;2.333333333;3.736842105;3.357142857;3.1875;;;muck sand;1;fault gouge;;;;;no;;;;litter meadow;meadow;;R37; Temperate and boreal moist or wet oligotrophic grassland;1;54.609;B.4 Wet grasslands;Molinio-Arrhenatheretea;Molinietalia caeruleae
HP_481;481;481;352.1647538;8.450816747;47.44505162;3796;1910;ZH;Regensdorf;430;27;481;2.86;3.230769231;3.36;3.807692308;3.3125;3.08;;;;;;;;;;;;;;meadow;meadow;;R22; Low and medium altitude hay meadow;1;52.255;B.3 Mesic grasslands;Molinio-Arrhenatheretea;Arrhenatheretalia elatioris
HP_482;482;481;352.1647538;8.450816747;47.44505162;3796;1910;ZH;Regensdorf;430;27;482;2.88;3.115384615;3.4;3.807692308;3.291666667;3.16;;;;;;;;;;yes;;slurry and manure. Last winter Thomas slack and some cow manure;;pasture;pasture;;R22; Low and medium altitude hay meadow;1;34.305;B.3 Mesic grasslands;Molinio-Arrhenatheretea;Arrhenatheretalia elatioris
HP_483;483;481;352.1647538;8.450816747;47.44505162;3796;1910;ZH;Regensdorf;430;13;483;3.041666667;3.153846154;3.666666667;3.692307692;3.363636364;3;;;;;;;;;;;;;;pasture;pasture;;R21; Mesic permanent pasture of lowlands and mountains;1;36.36;B.3 Mesic grasslands;Molinio-Arrhenatheretea;Poo alpinae-Trisetetalia
HP_484;484;481;352.1647538;8.450816747;47.44505162;3796;1910;ZH;Regensdorf;430;23;484;2.85;3.181818182;3.1;3.727272727;3.25;3.1;;;sandy loam;;;;;;;yes;;slurry and Thomas slack;;pasture;pasture;;R21; Mesic permanent pasture of lowlands and mountains;2;44.303;B.3 Mesic grasslands;Molinio-Arrhenatheretea;Poo alpinae-Trisetetalia
HP_485;485;485;1842.049773;8.449348832;47.39469053;2699;1907;ZH;Schlieren;395;16;485;3.071428571;3.25;3.571428571;3.5;3.269230769;3.153846154;;;;;;;;;;;;;;;;;R22; Low and medium altitude hay meadow;1;30.282;B.3 Mesic grasslands;Molinio-Arrhenatheretea;Arrhenatheretalia elatioris
